"<h2 class=""search-result__title"">Kansas State University</h2>","<span class=""search-result-badge-ordinal"">200</span>"
"<h2 class=""search-result__title"">Emporia State University<div class=""search-result__claimed-indicator""></div></h2>","<span class=""search-result-badge-ordinal"">227</span>"
"<h2 class=""search-result__title"">Pittsburg State University</h2>","<span class=""search-result-badge-ordinal"">249</span>"
"<h2 class=""search-result__title"">Washburn University</h2>","<span class=""search-result-badge-ordinal"">452</span>"
"<h2 class=""search-result__title"">Haskell Indian Nations University</h2>","<span class=""search-result-badge-ordinal"">494</span>"
